#################
#.#.....#.......#
#...#..#......###
#S.....#C.......#
#.....#......#..#
#b..###C........#
##S...#..S..#.###
#.......KCR..S..#
#..K..#S....##..#
#....#..#..CS..K#
#.##S...#.....KK#
#..#.......C#...#
#B......S#...KKK#
#....#..#K.##...#
##.....S.T..#...#
#.C...##..K.##..#
#...........#...#
#..#..S.#..#..R.#
#...C...#.......#
##..#.......b..##
#S.C..#S#.......#
#...#......#.#..#
#....KT.#.##.#..#
#....S#####.#...#
#..$..#.....#.#.#
#...#KS.##..#..##
#...........U.K##
##.#.#....#...#.#
#....#.#.#......#
#......#..T#.##S#
#..........#..#.#
#....#.S.##.#...#
#........#...#..#
#...#...#.....B.#
#...............#
#################

SWITCH: turn=250 duration=100

ORDERS:
start=5	duration=204	required=ONIONS,NOODLES,EGG,SAUCE	reward=62000	penalty=1000
start=307	duration=118	required=EGG	reward=25000	penalty=8800
start=317	duration=3	required=SAUCE,NOODLES,EGG,ONIONS,MEAT	reward=27000	penalty=1600
start=318	duration=116	required=MEAT,ONIONS,EGG	reward=93000	penalty=5000
start=319	duration=192	required=ONIONS,NOODLES,EGG	reward=10000	penalty=9800
start=332	duration=202	required=MEAT	reward=54000	penalty=300
start=333	duration=28	required=SAUCE	reward=28000	penalty=7700
start=344	duration=68	required=SAUCE,EGG	reward=57000	penalty=6200
start=349	duration=148	required=SAUCE	reward=32000	penalty=3500
start=373	duration=219	required=EGG	reward=38000	penalty=700
start=387	duration=200	required=NOODLES,SAUCE	reward=17000	penalty=1500
start=389	duration=68	required=EGG	reward=79000	penalty=5000
start=412	duration=176	required=SAUCE,NOODLES,EGG,ONIONS	reward=66000	penalty=700
start=423	duration=63	required=MEAT,EGG	reward=41000	penalty=8700
start=439	duration=31	required=NOODLES,MEAT	reward=79000	penalty=7100
start=463	duration=141	required=NOODLES,ONIONS,MEAT	reward=40000	penalty=3000
start=499	duration=202	required=ONIONS,NOODLES,SAUCE	reward=18000	penalty=7700
start=516	duration=79	required=MEAT,NOODLES,ONIONS,EGG	reward=15000	penalty=9300
start=541	duration=183	required=SAUCE	reward=67000	penalty=1100
start=546	duration=185	required=EGG,NOODLES	reward=17000	penalty=9300
start=547	duration=112	required=SAUCE,MEAT	reward=27000	penalty=1800
start=559	duration=77	required=MEAT	reward=57000	penalty=7400
start=562	duration=97	required=ONIONS,NOODLES,MEAT	reward=28000	penalty=2800
start=567	duration=153	required=SAUCE,NOODLES	reward=7000	penalty=4400
start=573	duration=234	required=EGG,MEAT,ONIONS	reward=61000	penalty=4300
start=575	duration=180	required=SAUCE,ONIONS,NOODLES,EGG	reward=85000	penalty=4000
start=587	duration=132	required=ONIONS,SAUCE,EGG	reward=68000	penalty=7900
start=593	duration=61	required=ONIONS,NOODLES,EGG,MEAT	reward=48000	penalty=3400
start=597	duration=234	required=NOODLES,SAUCE,EGG,MEAT,ONIONS	reward=10000	penalty=8900
start=599	duration=2	required=EGG,MEAT	reward=60000	penalty=300
start=600	duration=78	required=ONIONS,SAUCE,MEAT	reward=89000	penalty=2200
start=620	duration=104	required=ONIONS,NOODLES	reward=50000	penalty=4700
start=650	duration=82	required=SAUCE,MEAT	reward=24000	penalty=5100
start=667	duration=132	required=NOODLES,MEAT	reward=92000	penalty=5900
start=668	duration=94	required=NOODLES,MEAT,EGG,SAUCE,ONIONS	reward=16000	penalty=6500
start=670	duration=132	required=EGG,MEAT,SAUCE,ONIONS	reward=11000	penalty=500
start=681	duration=156	required=EGG	reward=92000	penalty=6700
start=690	duration=99	required=EGG	reward=46000	penalty=7800
start=717	duration=75	required=EGG	reward=50000	penalty=1100
start=719	duration=141	required=EGG,NOODLES,ONIONS,SAUCE	reward=49000	penalty=8900
